ADDRESS,CLND
0x1be7ed76b7b8cf290ad9f442b386eb62a5b4c33f,1015
0xf5085d0114b0710cdcb277a58df82210a533236d,134
0x1974c5243aa71d3f4cc2d8850d8f412478890ce4,80
0x89769a50e999f8ce057977623bfcb1e929555eea,647
0x5271e13f262e951a4266d12bdb6b657bf8edb602,1558
0xdef9ee0cd9a738c2d57591bcf421ca0e86e49743,789
0x09dc1e7b7339d5212094c78e3424f9ada107e177,330
0x090d8fa9e0366c367f94a3183989c625368a369d,4415
0x3b90345672d23393f2945f010cecaa0cceeda396,60
0x0d63481173b84d990ce483623eb1e4562a2da94f,152
0x18ab7ab0728a4af0b878fb3abcee6f02ed39bcf5,72
0x6a871a2ae3ab973a52fb9a8ad15e1783e23ce645,138
0x5e6a89897a42131393a217abd240d982ccad0c34,668
0x250f88bb49555ac1e51ff261f49b28d3e935708f,47
0x90fb7b6acd4003a77bae25140fb7969b381234b7,1320
0x5d844193de3fdb0afb82f0bedb24dea5a807762e,133
0x0cfeca14e659ea0e708aa22ad44b40e13622d5ad,165
0x3ad0e44da6a3f0e1c1ccbc351475bf8ab351bcb0,103
0xe472aebc027a182197259178d0f29d1b5c057480,3317
0x8883825c9eb6da91cefbe4cdc751ddea5ff68cd4,60
0xa970fa27e02a61d9ee6eb311cce7b8d2bdc6ab50,587
0xcf186b119c979ed9620bc56a0718ec8db52272ff,132
0x0e5589307f35411c54f68def95fe46c88fc495aa,28
0xed65856d5108082ba8f572fa3ff90bb6a250cd7d,133
0xb20170b40fd55f285cd561b3288ef091c3fb5a70,208
0x6f25a47159d97c063f1d67e582c94c5a23ac52c4,2609
0x9043b67cd859d5d24cc5ed1655bb24374128a22f,860
0x55eab7afc56d555707770c84a1b5920bc9ed611e,32
0x41848f6c185c7836a6683e44f0cf80f63d5d7952,311
0x3602c9d68b159f6240a886f5ba950d1f4705ce18,3300
0x71ff3d243b611f77217032d7fc98129286d1a997,311
0xdde63b0087ed247ce2d5013796247c1dc7604ab5,66
0x440d387bac0cde83a799612dc263cec1d75f2efa,660
0x18733adf535f3811d11342eb545fb464bfd25142,204
0xec1befcd51b97a9b146688e5dec94a79273f6db9,146
0x38b12913b375e2c14e9c61d8ea87e7ccaa381854,238
0xab0dfa1f8763592f341b2f8f89957f8219f97bf4,66
0x9bed2258fbea19e9ca597050839636539712ac3c,73
0xee8126d4fdb75b508839fe0e1b86b438c7afeecc,50
0xf71eaff7d6d70e3d1a43141de8f96f66ef85eb48,1235
0x49480a588912e96603df7046401af99606d7f572,462
0x682696add281b3cc3530c7cbc53c87d110181747,117
0xfa760c8f728b5ac3506327f75ab13e9a4d3a4b89,960
0xdae961f7ffaaf3c27fd861aaffe40b0f93f358e8,2306
0x2641f1a2a27af32272e4c4549e19073e32a6819c,119
0xca979932b8c3e1f6c9474c2fd059c4a153b441c9,1793
0xaac6b7516408f8f669571b36c262f0ab743190bc,1551
0xbf568431cdd5c54195d6bf084bb3e2c94b195204,12
0x7f3ab8c99ef2d77a64abb3b9214f27ab8fb7878d,86
0xee45e997b3558fcb3d0be4ed8e90ddf2a68c469c,535
0x87805025fee978a518a802fae5d68d862d1e2c4b,120
0xa74877e9eb41e674cec5ba42777a0db97fe87947,295
0x3f8999047de8eb1e0079a73d7b0845a8e92053f2,69
0x13ee5d4faa44cce20b2e5dcac76483ea26c2a4c7,495
0x740d71cb1771a436e1903b636cf364f6cb9f3b3f,667
0x70c65ec072d1e8ad54d92dce4ef77d666b404c2e,22
0xf5bd5a1b703301ba63c4bba5b977bccd4bc6504a,1980
0xb44ec03b6f120e32296b248bedd9de0068a5e88f,924
0x8fc59a1f35e36cc58112dbde251cef1cb9e1d450,114
0xe7f806b0e853e7a56866193201404b8ef253e079,354
0xaaf9bd4f28a0516e073e27723df2e0bdd1d6218f,185
0x45a382261c4164655100f3b2425d7f8fee66dc98,667
0x0fda749d5aaa595443f672bd5f088ac961dcbe50,1327
0x3337c6e0fecf7cec7ed2b0dcbe7b3463164fa34f,566
0xb6420a1fe5267e11f238ddbb48509a144bab45a0,113
0xdcd850e1ee6313a4b51c48f8c5285710976649e6,2475
0xee19f1159333fe4db2bc25b1cb2a2bf2c00d749c,2229
0xabe0b6419d5ee3866a5b67a8ace6fb1a21eab854,681
0xcd5b80a9f91fa962a01c65805b9647d778542a27,6586
0xbbfd0bf449cd9228d7ff823c4e4797d804a8171d,1285
0xa7d819ab2d37bffe12f373877511b6b2a1569186,102
0x48914ff102bcf740d7cd29f5fcb32e48de069aaf,24
0xf9a9fb16f96701604b5aedf43068357808a587cd,67
0x5dba3c5b13a576710caca114e2a94ed60333a302,660
0x2a563d022ac0d26fc0614e31bd1be479ba58630c,126
0x2e8a8a06b0037787c4e8428ca40be36b8eeecd3b,7
0x269564b82b27bc1e5124620926b671b73bc74416,75
0x5addc435b905e5819080eed11c5a9c345c82f8d1,720
0xaaa73cd7f48b191449fd606c7033c1915b4047bb,19
0xf68c57533750d2b8b5187399edee8eb3fa0880dd,93
0xd90b1e9dd8f099ec3f5b1e72b56ae804fad090ba,307
0x35eff70ab1e545248a3acd840f5b142d9a30d5e4,160
0x8ef5dc8b265e3e6c569b2dad06a2591ff2bad459,332
0x42c7f236a60f397dbd04fedd78a32313a0a615ab,13
0xb1d8eb03f95e8472e0728cd5fa7ec482b440afb6,3380
0x09d9d2103f564ce32578377f8e7b269faf0c6f5b,70
0xb5e1c4d4338a3ed4dff72bccc87b32de5787d1c0,7
0x37629053558826526006452b1cc14a6988fcda13,60
0x8089c372454b8a1885edbdf193ccc5607f3caef6,82
0x7587aded918291bc2019650abb440d2d17b05293,93
0x8f5c22f24b751da28f6f1dd05919b4743ec4d206,2667
0x14fcaf2914fb23f35d41c1d8877920f997ea8a0a,85
0x5336fb7f9f824f2a9f7110643ef837641a329202,16595
0x64f8c452b99de0e8ab7cc7c6e3af93aed74de1e9,23440
0x7ddc5cbbd2059826c3c5c2be333f6ae1ebf467c6,86
0x7a5934751f322c01f50b363c4810eca67db4d511,319
